lumpy,x,y,cld,dtr,frs,pet,pre,tmn
0,141.75,70.75,57.8,7.1,31.0,0.0,14.2,-43.3
0,110.75,35.25,46.4,11.1,29.66,1.1,0.9,-9.3
0,100.75,76.25,54.5,6.8,31.0,0.0,12.1,-34.3
0,97.75,79.75,57.5,7.5,31.0,0.0,7.0,-38.6
0,68.75,70.25,91.3,6.2,31.0,0.0,9.4,-25.6
0,63.75,63.25,71.5,7.4,31.0,0.1,21.6,-23.1
0,125.25,46.25,26.7,11.4,31.0,0.2,1.1,-26.1
0,76.75,55.75,49.2,8.0,31.0,0.0,5.3,-26.1
0,165.75,67.75,69.8,9.1,31.0,0.0,8.2,-32.0
0,136.75,56.75,52.8,7.9,31.0,0.1,5.5,-31.7
0,132.75,46.25,37.9,8.6,31.0,0.1,6.3,-24.5
0,84.75,32.75,47.3,15.8,31.0,1.0,15.6,-22.1
0,121.25,64.25,54.6,6.6,31.0,0.0,15.3,-35.3
0,139.25,69.25,54.0,7.1,31.0,0.0,7.2,-47.3
0,77.75,17.75,12.6,13.0,0.0,3.9,0.0,15.8
0,78.75,49.75,43.8,10.5,31.0,0.2,4.6,-26.2
1,45.998,44.161,80.7,5.9,25.25,0.4,16.0,-4.0
0,53.75,28.75,42.8,12.6,7.84,2.0,67.1,3.9
1,20.278687,41.898793,81.0,6.6,24.49,0.8,79.1,-3.3
0,70.25,49.75,38.3,9.6,31.0,0.1,6.0,-24.8
0,108.25,71.75,60.8,6.6,31.0,0.0,26.6,-35.3
0,63.25,52.75,37.9,9.0,31.0,0.1,4.6,-23.5
0,49.75,30.25,47.7,9.0,0.0,2.0,47.5,10.4
0,133.25,59.25,65.5,6.9,31.0,0.0,7.2,-39.9
1,20.085364,41.523342,81.0,6.6,24.49,0.8,79.1,-3.3
0,111.75,26.75,82.7,3.9,16.33,1.1,57.1,0.6
0,54.25,20.75,35.1,9.0,0.0,3.6,0.0,16.7
1,35.170662,37.32186,61.4,6.7,2.31,1.4,176.7,6.8
0,65.25,47.75,51.6,8.4,31.0,0.1,8.3,-20.2
0,33.25,24.25,26.9,14.4,0.11,4.1,1.0,9.3
0,18.25,-8.75,85.0,12.5,0.0,2.9,160.0,15.7
1,19.79865,41.08352,71.1,8.3,12.33,0.9,103.8,2.1
0,92.25,28.25,29.5,19.3,31.0,1.6,0.0,-17.5
0,97.25,74.75,57.5,7.0,31.0,0.0,17.0,-33.9
0,56.75,52.25,58.8,8.9,31.0,0.2,15.8,-21.0
0,48.75,54.75,70.5,6.0,31.0,0.1,47.7,-15.2
0,25.25,29.25,24.9,12.4,0.59,2.8,1.1,8.4
0,130.75,50.75,35.5,12.6,31.0,0.1,3.1,-34.9
0,111.75,59.25,74.8,8.4,31.0,0.0,10.5,-34.7
0,52.75,64.75,77.8,6.5,31.0,0.0,35.2,-19.4
1,20.369795,41.778177,81.0,6.6,24.49,0.8,79.1,-3.3
0,93.75,80.25,60.0,7.5,31.0,0.0,5.9,-38.3
0,97.25,69.25,62.6,7.6,31.0,0.0,15.8,-37.5
0,77.75,71.75,76.4,7.0,31.0,0.0,36.5,-25.5
0,98.75,21.75,27.2,14.1,0.45,2.3,24.2,8.6
0,137.25,65.75,54.0,7.1,31.0,0.0,1.9,-48.3
0,63.25,60.75,65.8,7.6,31.0,0.0,19.8,-21.3
0,44.75,30.25,35.0,12.0,3.22,2.6,12.7,6.2
0,63.75,64.75,76.7,6.9,31.0,0.0,21.7,-23.6
0,46.25,32.75,46.2,11.1,2.75,1.7,39.5,6.5
0,32.75,62.75,91.4,6.3,31.0,0.0,63.9,-14.1
1,106.7957,22.7837,88.6,3.8,0.52,1.5,16.7,8.5
0,88.75,63.75,84.2,6.7,31.0,0.0,23.0,-29.8
0,40.75,39.25,64.9,9.5,29.49,0.6,56.7,-9.0
0,122.25,59.25,77.2,7.0,31.0,0.0,14.3,-32.3
0,90.75,27.75,31.4,16.9,30.3,1.5,2.8,-10.6
0,34.75,60.25,93.6,6.2,30.97,0.1,71.5,-13.3
1,35.19022,32.19022,54.0,8.3,0.74,1.7,102.9,8.2
1,50.0468,26.5714,44.4,8.3,0.0,3.4,55.7,12.9
0,43.25,64.25,88.2,7.3,31.0,0.0,46.6,-18.5
0,44.25,55.25,76.0,5.5,30.98,0.1,55.7,-13.5
0,177.25,68.75,62.1,9.1,31.0,0.1,24.1,-31.1
0,141.75,64.75,56.0,8.1,31.0,0.0,3.8,-49.7
1,22.19461,42.69843,83.9,6.2,26.19,0.7,28.7,-4.9
0,122.25,45.75,28.4,10.7,31.0,0.1,0.7,-23.9
0,77.75,55.25,51.4,7.9,31.0,0.0,5.6,-26.8
0,166.75,61.25,61.6,7.6,31.0,0.0,32.4,-21.4
0,63.25,51.25,37.2,8.7,31.0,0.1,8.1,-23.7
0,83.25,28.25,32.4,13.8,20.52,1.6,12.6,-1.0
0,33.25,62.25,92.6,6.2,30.98,0.0,60.0,-13.5
0,78.25,13.25,22.7,12.3,0.0,4.1,0.3,16.0
0,123.25,40.25,12.3,8.9,31.0,0.7,0.5,-17.3
0,82.25,59.25,67.5,7.2,31.0,0.0,12.6,-26.3
1,26.5044,41.3814,78.4,6.8,18.19,0.7,48.0,-0.1
0,44.75,33.75,46.4,11.1,3.56,1.7,38.0,6.0
0,101.75,70.25,54.3,7.3,31.0,0.1,20.0,-33.3
1,20.055006,41.621262,81.0,6.6,24.49,0.8,79.1,-3.3
0,55.25,45.25,70.3,9.0,30.73,0.5,11.6,-11.9
0,147.25,65.25,75.7,8.1,31.0,0.0,11.3,-42.2
1,19.53,-21.19,61.3,13.5,0.0,4.5,101.9,18.6
0,113.75,58.25,79.8,7.6,31.0,0.1,7.7,-36.2
1,35.48075985,32.47164937,54.0,8.3,0.74,1.7,102.9,8.2
0,83.75,72.75,70.3,7.3,31.0,0.0,48.8,-27.4
0,120.75,30.75,61.9,5.5,22.01,1.2,26.0,-1.6
0,88.75,22.25,40.2,12.0,0.0,2.4,0.0,13.8
0,91.75,30.25,37.7,16.5,31.0,1.4,0.0,-17.5
0,68.75,67.75,95.9,5.2,31.0,0.0,18.3,-24.0
0,118.25,54.75,47.5,13.6,31.0,0.0,0.5,-39.0
0,127.25,45.75,30.8,10.4,31.0,0.2,2.3,-26.9
0,95.75,21.25,24.2,12.6,0.0,2.6,1.6,14.7
0,95.75,69.25,65.8,8.0,31.0,0.0,15.0,-38.8
0,166.75,69.25,72.1,9.1,31.0,0.0,7.0,-32.2
0,149.25,63.75,81.6,8.0,31.0,0.0,16.9,-38.7
0,76.25,22.75,9.0,16.5,0.06,3.2,0.0,9.5
0,126.25,58.25,86.8,6.8,31.0,0.1,17.0,-30.7
0,165.75,68.75,70.1,9.3,31.0,0.0,5.8,-33.8
0,93.75,67.75,74.7,7.0,31.0,0.1,22.0,-35.1
0,66.75,59.75,58.3,6.8,31.0,0.0,13.7,-21.2
0,125.25,63.25,64.8,5.9,31.0,0.0,10.6,-37.8
0,94.75,35.25,37.3,14.2,31.0,0.9,0.8,-23.9
0,84.75,29.75,46.4,16.8,31.0,1.1,9.3,-21.1
0,41.25,31.25,36.0,12.3,5.43,2.4,5.5,5.0
0,109.25,30.25,74.6,5.1,22.49,1.2,12.3,-1.8
0,151.25,60.75,67.0,7.2,31.0,0.1,14.1,-30.3
0,103.75,25.25,57.8,10.2,17.13,1.9,23.4,0.3
0,77.25,67.25,90.2,6.6,31.0,0.0,29.2,-25.0
0,76.25,32.25,58.5,9.6,20.77,1.1,12.9,-1.1
0,107.75,65.25,73.4,8.7,31.0,0.0,11.5,-36.4
0,84.25,71.25,75.0,7.2,31.0,0.0,41.0,-27.0
0,23.75,43.25,86.2,6.0,25.15,0.5,29.7,-3.9
0,71.25,67.25,91.3,5.8,31.0,0.0,23.7,-24.0
0,75.75,17.25,15.5,14.7,0.0,4.2,0.3,16.4
0,102.75,33.25,54.2,18.7,31.0,1.1,4.7,-19.4
0,75.75,68.75,86.9,7.1,31.0,0.0,27.6,-25.6
0,107.75,57.25,69.5,9.4,31.0,0.0,6.9,-36.4
